distillery;age;proof;sweetness;peatiness;availability;colour;nose;flavour_palette;finish
The Macallan;30;43;5;6;2;deep-amber;full;big-body;dry
The Glenlivet;12;40;8;4;10;straw;leaf;sherry;long
Craigellachie;14;43;8;3;6;straw;fresh;fresh;long
Glenury;12;40;3;6;0;gold;light;light;smoke
Royal Brackla;32;40;6;6;3;pale;good-body;medium-dry;oak
Glenmorangie;39;43;4;4;1;pale;rich;sweet;long
Caol Ila;10;46;1;9;1;pale-straw;rich;dry;long
Tamnavulin;18;46;8;3;1;dark;nut;smooth;smooth
Auchriosk;26;40;7;4;1;amber;rich;full-body;long
Benriach;33;40;6;3;4;pale-straw;sweet;sweet;spice
Bowmore;10;40;0;8;8;mid-amber;full;dry;long
Blair Athol;12;43;7;6;6;pale;full;medium-sweet;fresh
Auchentoshan;21;43;2;4;3;mid-amber;soft;dry;sweet
Clynelish;14;43;4;6;6;pale-amber;rich;smoke;long
Strathmill;12;55.5;6;3;0;rich;light;medium-sweet;long
Glenturret;14;40;6;3;2;pale-amber;good-body;soft;medium-sweet
Glen Garioch;18;40;4;5;3;straw;medium-body;soft;good
Dalmore;21;43;6;5;6;mid-amber;fresh;full-body;long
The Macallan;10;40;7;4;10;mid-amber;full;sweet;long
Yamazaki;8;57;6;3;1;amber;char;medium-dry;long
Sprinbank;10;46;7;6;6;amber;big-body;big-body;long
Balmenach;21;62.6;6;5;4;pale-straw;mash;medium-sweet;short
Glenmorangie;0;43;4;3;5;amber;big-body;smooth;long
Cragganmore;17;53.8;6;7;2;pale;full-body;medium-dry;long
Bushmills;12;40;6;0;1;mid-amber;clean;medium-sweet;long
Yoichi;12;45;7;4;4;amber;full-body;medium-sweet;long
Talisker;14;64.3;2;9;2;straw;big;big;long
Aberfeldy;12;40;5;6;5;amber;medium-bodied;medium-dry;long
Glen Garioch;15;43;3;6;6;straw;medium-body;big-body;long
Ardbeg;27;43;2;10;3;amber;full-body;dry;long
Glenmorangie;10;57.6;4;4;1;pale-amber;sweet;rich;fresh
Sprinbank;12;57;5;6;3;deep-amber;full-body;big-body;long
Tomintoul;23;54.3;7;4;1;straw;medium-body;medium-sweet;long
Glenturret;15;40;7;3;4;gold;big-body;full;smooth
Banff;17;60.5;6;6;1;mid-amber;fresh;fresh;long
Glen Grant;12;43;6;4;2;straw;light;light;dry
Aberlour;15;40;7;3;6;mid-amber;full-body;smooth;long
Benromach;28;40;7;4;2;amber;soft;big;long
Caperdonich;30;40;7;3;0;honey;full;full;long
Port Ellen;31;40;1;9;3;bright;smoke;full;dry
Bunnahabhain;25;46;5;6;0;straw;medium-sweet;medium-sweet;rich
Tambowie  (Vatted Malt) ;8;40;8;3;2;mid-amber;fresh;medium-sweet;long
Glen Eason;10;40;3;7;2;full-amber;fresh;full-body;long
Balvenie;15;50.4;7;3;4;bright;full-body;medium-sweet;long
Highland Park;12;40;2;7;9;pale-straw;peat;balance;long
Aberlour;0;43;8;3;3;deep-amber;full-body;rich;long
Glenlossie;33;40;7;4;2;straw;medium-body;rich;long
Glengoyne;25;48.5;7;0;1;straw;full;medium-dry;long
Benromach;12;40;7;4;5;amber;medium-body;medium-sweet;long
Glenfiddich;21;43;9;5;1;pale-straw;fresh;soft;herb
Inchgower;13;43;7;3;1;pale-amber;good-body;clean;long
Glen Flagler;23;50.1;3;2;1;pale;fresh;medium-dry;long
Poit Dhubh (Vatted Malt);12;46;7;7;3;light;medium-body;full-body;long
Yamazaki;18;43;4;6;3;amber;medium-dry;medium-dry;long
Shirakawa;27;55;6;4;1;amber;full;medium-sweet;long
Dailuaine;23;46;4;6;2;pale-straw;medicinal;sweet;fine
Clynelish;12;40;6;5;4;mid-amber;clean;good-body;long
The Glenlivet;18;43;6;5;3;deep-amber;full-body;big-body;rich
Dalmore;30;45;6;5;4;full;big-body;medium-dry;long
Scapa;23;56.3;8;6;1;straw;full-body;sweet;long
Royal Brackla;18;43;6;6;2;amber;full-body;big;long
The Macallan;25;43;7;5;4;full-amber;full-body;medium-dry;long
Pride Of The Lowlands (Vatted Malt);12;40;3;2;4;amber;fresh;smooth;long
Convalmore ;31;48.9;6;5;2;mid-amber;smoke;big-body;fresh
The Macallan;7;40;8;4;8;light;sweet;medium-sweet;long
Finlaggan;12;43;2;8;2;pale-amber;dry;dry;full
Glenfarclas;19;57;8;4;2;amber;full-body;full-body;long
Aberlour;0;57.1;8;3;3;deep-amber;full-body;sweet;long
Lochside;21;46;4;6;2;amber;fresh;medium-dry;long
Linkwood;14;58.5;3;6;2;deep-amber;big-body;big;soft
Yoichi;15;45;3;7;2;mid-amber;delicate;dry;long
St. Magdalene ;23;58.1;2;3;1;amber;gentle;big-body;long
Ben Nevis;26;58;4;5;3;mid-amber;medium-sweet;medium-dry;long
Blair Athol;23;57.1;6;5;1;mid-amber;medium-sweet;soft;long
Glenlossie;17;59;6;6;2;full-amber;big-body;round;long
Glen Keith;22;45.6;7;3;1;bright;full;rich;long
Glen Rothes;16;46;8;3;2;deep;fruit;full-body;long
Royal Brackla;27;46;5;7;2;amber;big-body;big-body;long
Killyloch;22;52.6;4;2;0;pale;medium-body;medium-dry;sweet
Inchgower;14;43;7;3;6;straw;medium-sweet;smooth;long
Sprinbank;30;46;8;6;2;full-amber;full;sweet;long
Craigellachie;15;46;7;6;2;pale;pungent;heavy;good
Scapa;19;40;2;4;4;mid-amber;fresh;dry;long
Laphroaig;10;57.3;2;10;6;amber;big;smooth;long
Ardmore;25;40;6;6;4;pale-amber;full;medium-bodied;sweet
Deanston;12;40;5;6;6;amber;light;medium-dry;long
Longmorn;15;45;6;4;6;mid-amber;rich;full-boudy;rich
Blairfindy;20;51.8;8;4;2;amber;full-body;big-body;long
The Macallan;18;43;6;3;1;rich;rich;sweet;long
The Macallan;56;46.6;4;5;2;mid-amber;big;medium-dry;long
Yoichi;10;45;5;5;2;amber;medium-body;medium-dry;long
Benromach;15;40;7;5;4;amber;full;medium-dry;long
Scapa;24;50.1;8;6;1;straw;sweet;sweet;smooth
Dailuaine;16;43;5;7;6;deep;full;full-body;long
Rosebank;13;58.9;2;5;2;pale-straw;dry;dry;long
Highland Park;10;40;5;6;2;pale-amber;medium-dry;round;long
Imperial;12;65;7;6;3;haze;full;sweet;long
Lochside;10;40;3;5;1;light;light;medium-dry;leaf
Dallas Dhu;24;60.6;4;4;2;pale-amber;medium-dry;oak;chew
Bushmills;10;40;7;0;9;amber;fresh;medium-sweet;clean
Lagavulin;23;43;1;9;6;deep-amber;dark;dry;long
Deanston;21;40;4;6;3;full-amber;light;medium-dry;long
Loch Lomond;10;40;4;6;4;amber;young;sweet;long
Talisker;10;45.8;1;10;8;straw;pungent;peat;smoke
Edradour;10;40;9;3;7;rich;sweet;smooth;butter
Bladnoch;10;43;4;4;6;straw;fresh;fresh;fresh
Pride Of Strathspey;12;40;8;3;4;amber;medium-sweet;medium-sweet;long
Glenmorangie;0;43;6;3;1;mid-amber;soft;round;long
Braeval;8;60;7;4;2;pale-straw;medium-dry;soft;clean
Glenfiddich;12;40;8;5;10;straw;fresh;full-body;long
Balvenie;10;40;8;3;8;straw;full;medium-dry;long
Royal Lochnagar;12;40;8;4;0;pale-straw;sweet;sweet;smooth
Inverleven;23;40;6;1;4;mid-amber;light;medium-sweet;ling
Speyburn;31;40;8;5;4;rich;sweet;medium-sweet;mellow
Glenmorangie;10;40;4;4;10;light;fresh;light;sweet
Lagavulin;15;64.4;5;9;2;pale-amber;full;seaweed;long
Benromach;33;40;7;4;2;mid-amber;fresh;medium-dry;long
Tobermory;20;43;4;7;2;pale-amber;sweet;medium-dry;long
Laphroaig;10;40;2;10;10;pale-amber;dry;character;linger
Bowmore;13;46;2;8;2;straw;medium-body;big-body;long
Fuji-Gotemba;15;40;4;3;1;amber;medium-dry;medium-dry;long
Loch Lomond;10;40;6;4;4;amber;fresh;medium-sweet;long
Auchriosk;10;40;7;5;8;mid-amber;full-body;medium-body;long
Glenmorangie;10;57.2;5;4;4;amber;fresh;medium-sweet;long
Oban;22;43;4;7;6;full-amber;full-body;full-body;long
Karuizawa;17;40;3;6;1;amber;fresh;medium-dry;long
Locke's;0;40;7;0;2;amber;fresh;fresh;long
Scapa;14;43;6;5;0;pale-straw;round;medium-dry;long
Sprinbank;15;46;7;5;6;light;rich;clean;long
Sprinbank;28;53.2;7;5;2;full-amber;full-warm;medium-dry;powerful
Strathmill;11;60.6;7;3;4;pale-straw;frersh;cereal;sweet
Ardbeg;26;52.8;0;10;2;deep-amber;big-body;big-body;dry
The Macallan;54;46.6;5;6;1;full-amber;full;medium-dry;long
Cragganmore;12;40;6;7;9;amber;clean;full-body;long
Lagavulin;15;63.3;3;8;1;deep-amber;full-body;big-body;long
Hakushu;12;43;6;4;4;amber;light;medium-dry;long
Inchgower;12;40;8;6;0;pale-gold;sweet;rich;deistinguish
Aultmore;12;43;5;4;6;pale-straw;rich;medium-body;smooth
Scapa;8;57;8;7;2;peat;spirit;sweet;good
Benriach;10;43;6;3;7;pale-straw;fresh;medium-dry;rich
Glengoyne;17;43;6;0;5;pale;rich;soft;spice
Rosebank;33;51.7;5;3;2;pale-straw;malt;full-body;long
Ardbeg;21;49.2;1;10;1;pale-amber;full-body;dry;long
Cooley;0;40;5;6;4;mid-amber;full-body;medium-sweet;long
Benromach;17;43;7;5;4;amber;medium-sweet;medium-sweet;long
Dalmore;52;51.5;6;3;0;full;soft;full;long
Glendullan;12;43;8;4;6;pale-straw;full;medium-dry;long
The Glenlivet;12;40;8;4;6;mid-amber;soft;soft;long
Glenturret;34;40;6;3;1;straw;medium-sweet;medium-sweet;long
Bruichladdich;15;40;3;6;4;straw;rich;sweet;spicy
Highland Park;25;53.5;4;6;4;deep-amber;full-body;soft;long
The Glenlivet;12;40;3;6;4;amber;dumb;dry;long
Longmorn;12;40;6;5;4;amber;medium-body;medium-dry;long
Glen Moray;16;43;7;2;5;amber;fresh;round;smooth
Glenfiddich;15;40;7;5;6;amber;full-body;big;long
Aultmore;14;60.1;7;5;2;mid-amber;full;rich;long
Balmenach;30;40;6;7;2;mid-amber;medium-sweet;medium-dry;long
Glenallachie;12;40;7;4;0;pale;full;full-body;elegant
Isle Of Jura;16;40;4;6;4;amber;full-body;full;long
Glen Grant;15;40;6;4;5;peat;sweet;medium-sweet;smoke
