distillery;age;proof;sweetness;peatiness;availability;colour;nose;flavour_palette;finish
Mortlach;18;40;6;6;3;straw;medium-body;big-body;long
Inverleven;30;60;2;3;0;pale-straw;full-body;full;long
Royal Brackla;0;40;6;7;7;pale-straw;medium-body;medium-sweet;clean
Caol Ila;22;43;2;9;2;pale-amber;big;dry;long
Balmenach;12;43;7;5;6;deep-amber;full-body;full-body;long
Pride Of Orkney (Vatted Malt);12;40;2;5;4;light;light;dry;clean
Deanston;17;40;7;3;4;amber;full;medium-sweet;long
Glenlossie;34;40;7;4;2;pale-gold;sweet;sweet;fruit
Isle Of Arran;3;43;7;5;3;straw;fresh;sweet;long
Glenburgie;36;57.6;7;5;3;deep-amber;big-body;rich;long
Ben Nevis;22;46;3;6;2;deep-amber;spirit;dry;smooth
Millburn;31;40;6;5;3;mid-amber;rich;medium-dry;soft
Dufftown;12;43;7;4;1;pale;big-body;medium-dry;long
Imperial;23;40;6;7;4;amber;full-body;medium-sweet;clean
Caol Ila;28;40;2;9;2;bright;peat;dry;smoke
Strathisla;13;60;7;4;2;straw;medium-sweet;medium-sweet;long
Glengoyne;12;40;5;0;4;pale-straw;medium-body;medium-dry;long
Glen Elgin;12;43;8;4;1;pale-gold;sweet;soft;smooth
Glenmorangie;17;0;5;3;1;mid-amber;fresh;dry;long
The Macallan;50;43;7;5;1;deep-amber;full-body;full-body;long
Cooley;0;40;7;0;4;straw;fresh;medium-swet;long
Tobermory;10;40;4;5;4;pale-amber;soft;medium-dry;smooth
Dalmore;24;60.5;6;5;2;pale-straw;medium-body;medium-body;longe
Glenturret;34;40;7;3;2;pale-straw;rich;rich;smooth
Dallas Dhu;31;40;3;6;2;amber;rich;medium-dry;clean
Dailuaine;31;40;3;6;3;straw;dry;smoke;smooth
Bunnahabhain;17;43;4;6;2;pale-amber;fresh;medium-dry;long
Coleburn;30;40;7;6;3;straw;medium-body;medium-dry;smoke
Sprinbank;11;46;5;7;2;pale-amber;medium-body;medium-dry;long
Bushmills;16;40;5;0;6;mid-amber;full-body;dry;long
Glenburgie;32;40;3;1;2;mid-amber;light;light;clean
Glenturret;17;53.7;8;4;2;pale-amber;sweet;sweet;long
Ben Nevis;15;60.9;6;5;1;straw;full-body;soft;long
Balmenach;18;43;5;7;1;pale-straw;medium-dry;medium-dry;long
Dallas Dhu;28;40;6;4;2;straw;full;round;dry
Glencadam;28;40;7;4;4;straw;rich;medium-body;light
Sprinbank;7;59.1;7;5;1;deep;full-body;medium-dry;long
Oak Brandy Cask;32;40;6;3;1;pale-amber;light;medium-sweet;long
Ardbeg;17;40;2;10;8;amber;gentle;big-body;long
Lammerlaw;10;43;6;1;2;pale-amber;fresh;medium-sweet;long
Balvenie;21;43;5;4;5;mid-amber;soft;dry;long
Littlemill;8;40;6;1;5;straw;young;fresh;rich
Pultney;12;40;6;5;5;pale-straw;soft;medium-dry;clean
Ballantine (Vatted Malt);12;40;7;4;3;deep-amber;full;full;long
Yamazaki;25;43;2;3;4;dark;big-rich;dry;chew
Knochdhu;12;43;6;7;4;straw;fresh;sweet;long
Speyburn;10;40;8;2;7;pale-straw;fresh;fresh;long
Bruichladdich;11;57.9;3;7;2;pale-straw;light;medium-body;long
Ardbeg;28;40;1;10;2;amber;big-body;big;big
Sprinbank;46;46;7;5;1;deep-amber;full-body;full;long
Aberfeldy;40;43;6;6;1;straw;medium-sweet;smooth;long
Glenburgie;54;40;5;6;1;deep-amber;big;big;long
Glenfarclas;0;60;7;6;7;deep-amber;spirit;spirit;long
Komagatake;10;40;7;3;2;amber;rich;smooth;long
Teaninich;21;57.2;6;6;1;straw;medium-body;medium-dry;long
Isle Of Jura;33;43;3;6;2;full-amber;big-body;big-body;long
Caol Ila;19;43;1;9;2;pale-straw;full-body;full;long
Brora;22;58.7;4;8;1;amber;big-body;big;long
Raw Cask Blairfindy;0;57.6;8;3;2;rich;full-body;big-body;long
Oak Brandy Cask;39;40;5;3;1;amber;medium-sweet;medium-dry;long
Aberlour;10;40;7;4;10;deep-amber;full;full-body;good
Glenturret;8;40;6;4;1;pale-straw;full;light;spice
Glenburgie;42;40;7;5;2;pale-straw;wood;medium-sweet;oak
The Glenlivet;21;40;6;7;4;full-amber;sweet;smooth;long
Aberlour;12;61.8;8;4;1;pale;medium-body;soft;long
Teaninich;18;43;7;5;1;straw;fresh;fresh;clean
Kinclaith;20;46;6;3;1;pale-straw;sweet;cream;pepper
Glencadam;12;43;6;4;1;deep-amber;full-body;big;long
Yamazaki;15;45;2;5;1;dark;big;medium-dry;long
Auchriosk;19;40;4;3;2;full-amber;rich;medium-body;dry
Fettercairn;10;40;4;4;6;straw;full;dry;dry
Deanston;25;55.8;4;3;2;straw;fresh;medium-dry;fresh
Glenfiddich;18;43;8;4;2;straw;fresh;soft;clean
Glen Albyn;37;40;7;4;1;full-amber;medium-sweet;rich;pepper
Glen Elgin;26;57.3;8;4;2;pale-amber;full;n/a;long
Karuizawa;13;58;3;7;1;deep-amber;full-body;big-body;long
Lagavulin;16;43;3;10;10;deep-amber;distinct;big;long
Glenfarclas;10;40;9;5;9;straw;rubber;sweet;spice
Glendronach;15;40;7;4;6;deep-amber;full-body;full;long
Royal Lochnagar;12;40;7;4;5;mid-amber;medium-body;soft;fresh
